Days for shipment (scheduled),Order Processing Time,Order Item Quantity,Order Month,Discounted Item,Type_DEBIT,Type_TRANSFER,Shipping Mode_Second Class,Shipping Mode_Standard Class,Customer Segment_Home Office,Customer Segment_Corporate,Order Status_PENDING,Order Status_PROCESSING,Order Status_SUSPECTED_FRAUD,Delay Probability,Expected Cost,Premium
4,5,1,4,1,0,1,0,1,0,0,0,1,0,0.9999858,99.99858,115.498505
1,2,5,6,1,0,0,0,0,0,0,0,0,0,0.9999838,99.99838,115.4983
4,2,5,1,1,0,1,0,1,0,1,0,1,0,2.9450212e-06,0.00029450213,10.500309
4,5,1,1,1,0,1,0,1,0,0,1,0,0,0.99998546,99.99854,115.49847
4,2,3,4,1,1,0,0,1,0,0,0,0,0,1.6362967e-06,0.00016362967,10.500172
4,5,4,8,1,1,0,0,1,0,0,0,0,0,0.99998546,99.99854,115.49847
4,6,1,8,1,1,0,0,1,0,1,0,0,0,0.99998546,99.99854,115.49847
4,2,3,12,1,1,0,0,1,0,0,0,0,0,1.6705503e-06,0.00016705503,10.5001745
4,6,2,2,0,0,0,0,1,0,0,0,0,0,0.99998534,99.998535,115.49846
4,4,3,3,1,0,0,0,1,0,1,0,0,0,3.1599728e-05,0.0031599728,10.503317
4,3,3,5,1,0,1,0,1,0,1,0,1,0,5.4655798e-06,0.000546558,10.500573
4,6,1,1,1,0,0,0,1,0,0,0,0,0,0.99998534,99.998535,115.49846
2,6,1,9,1,0,0,1,0,0,1,0,0,0,0.9999974,99.99974,115.499725
4,2,5,6,1,0,1,0,1,0,0,1,0,0,2.0660054e-06,0.00020660054,10.5002165
2,5,5,7,1,0,1,1,0,0,1,0,1,0,0.9999975,99.99975,115.49973
0,0,1,3,1,0,1,0,0,0,0,0,1,0,0.645701,64.5701,78.2986
1,2,3,12,1,0,0,0,0,0,0,0,0,0,0.99998677,99.99868,115.49861
2,4,1,4,1,0,1,1,0,0,0,0,1,0,0.9999907,99.99907,115.499016
4,4,1,8,1,0,1,0,1,0,0,0,1,0,3.2072734e-05,0.0032072733,10.503367
2,2,1,1,1,1,0,1,0,1,0,0,0,0,6.3808504e-05,0.0063808504,10.5067
4,4,1,6,1,1,0,0,1,1,0,0,0,0,3.1279284e-05,0.0031279284,10.5032835
2,4,1,4,1,0,1,1,0,0,0,0,1,0,0.9999907,99.99907,115.499016
4,5,1,8,1,1,0,0,1,0,0,0,0,0,0.99998546,99.99854,115.49847
1,2,1,5,1,0,0,0,0,1,0,0,0,0,0.99997365,99.99737,115.49723
4,3,3,6,1,0,1,0,1,0,1,0,1,0,5.4655798e-06,0.000546558,10.500573
4,5,1,1,1,0,1,0,1,0,1,1,0,0,0.99998546,99.99854,115.49847
1,2,1,7,1,0,1,0,0,1,0,0,1,0,0.99997854,99.997856,115.49774
2,4,1,3,1,0,0,1,0,0,0,0,0,0,0.9999906,99.99906,115.49901
1,2,1,1,1,0,0,0,0,0,0,0,0,0,0.9999827,99.99827,115.49818
4,2,1,5,1,0,1,0,1,0,1,0,0,0,1.348367e-06,0.00013483671,10.500141
4,5,1,2,0,0,1,0,1,0,0,0,1,0,0.99998665,99.998665,115.4986
4,5,1,2,1,1,0,0,1,0,0,0,0,0,0.99998534,99.998535,115.49846
4,5,1,7,1,1,0,0,1,0,0,0,0,0,0.99998546,99.99854,115.49847
1,2,5,8,1,1,0,0,0,0,1,0,0,0,0.9999876,99.998764,115.498695
0,0,1,6,1,1,0,0,0,0,0,0,0,0,0.50020224,50.020226,63.021233
1,2,1,9,1,1,0,0,0,0,1,0,0,0,0.99998224,99.99822,115.49813
4,4,1,2,1,1,0,0,1,1,0,0,0,0,2.6563448e-05,0.0026563448,10.502789
1,2,3,7,1,1,0,0,0,0,1,0,0,0,0.9999856,99.99856,115.49848
1,2,4,5,0,0,0,0,0,0,0,0,0,0,0.9999831,99.99831,115.498215
4,3,1,5,1,0,0,0,1,0,1,0,0,0,5.3849717e-06,0.0005384972,10.500566
2,3,1,5,1,0,0,1,0,0,1,0,0,0,0.9999447,99.99447,115.49419
4,2,1,3,1,1,0,0,1,0,0,0,0,0,1.8268626e-06,0.00018268626,10.500192
4,2,2,10,1,0,0,0,1,1,0,0,0,0,1.0345916e-06,0.00010345916,10.500108
4,2,1,8,1,0,1,0,1,0,1,0,0,0,1.574219e-06,0.0001574219,10.500165
4,6,3,12,1,0,1,0,1,0,0,1,0,0,0.9999856,99.99856,115.49848
4,5,2,5,1,0,0,0,1,0,0,0,0,0,0.9999856,99.99856,115.49848
4,2,1,4,1,1,0,0,1,0,1,0,0,0,1.8604493e-06,0.00018604493,10.500195
4,2,1,9,1,1,0,0,1,0,0,0,0,0,1.8492909e-06,0.00018492909,10.500194
4,3,5,10,1,0,0,0,1,1,0,0,0,0,5.330362e-06,0.0005330362,10.500559
2,6,1,7,1,0,0,1,0,0,1,0,0,0,0.9999974,99.99974,115.499725
2,4,5,6,1,0,0,1,0,0,1,0,0,0,0.9999906,99.99906,115.49901
4,6,2,2,0,0,0,0,1,0,0,0,0,0,0.99998534,99.998535,115.49846
4,4,1,10,1,0,0,0,1,0,0,0,0,0,3.1599728e-05,0.0031599728,10.503317
4,6,5,3,1,0,0,0,1,0,1,0,0,0,0.9999856,99.99856,115.49848
2,3,1,9,1,1,0,1,0,0,1,0,0,0,0.9999442,99.99442,115.49414
1,2,2,1,1,1,0,0,0,1,0,0,0,0,0.9999801,99.99801,115.4979
2,3,1,8,1,1,0,1,0,0,0,0,0,0,0.9999442,99.99442,115.49414
1,2,2,8,1,0,0,0,0,0,1,0,0,0,0.99998415,99.99841,115.49833
4,5,1,10,1,0,1,0,1,0,0,1,0,0,0.9999856,99.99856,115.49848
4,4,1,8,1,0,0,0,1,0,0,0,0,0,3.1599728e-05,0.0031599728,10.503317
1,2,4,3,1,0,0,0,0,1,0,0,0,0,0.99997723,99.99773,115.497604
2,2,1,11,1,0,0,1,0,0,0,0,0,0,9.2527654e-05,0.009252765,10.509715
4,4,1,11,1,1,0,0,1,0,0,0,0,0,3.1380237e-05,0.0031380237,10.503294
4,5,1,4,1,1,0,0,1,0,1,0,0,0,0.99998546,99.99854,115.49847
2,5,2,6,1,1,0,1,0,0,0,0,0,0,0.9999974,99.99974,115.499725
1,2,1,9,1,0,0,0,0,0,1,0,0,0,0.99998045,99.99805,115.49795
4,2,1,12,1,1,0,0,1,0,0,0,0,0,1.9463284e-06,0.00019463284,10.500204
4,2,5,9,0,0,1,0,1,0,1,0,0,1,4.6275613e-06,0.00046275614,10.500485
1,2,2,1,1,0,1,0,0,0,0,1,0,0,0.9999845,99.99845,115.49837
1,2,1,8,1,0,0,0,0,0,0,0,0,0,0.9999864,99.99864,115.498566
4,3,4,6,1,0,1,0,1,1,0,1,0,0,5.330362e-06,0.0005330362,10.500559
1,2,2,1,1,1,0,0,0,0,0,0,0,0,0.9999851,99.99851,115.498436
2,5,1,5,1,1,0,1,0,0,1,0,0,0,0.9999974,99.99974,115.499725
4,2,1,12,1,0,1,0,1,0,0,0,1,0,1.5426967e-06,0.00015426967,10.500162
4,6,1,1,1,1,0,0,1,0,0,0,0,0,0.99998534,99.998535,115.49846
4,5,5,8,1,1,0,0,1,0,1,0,0,0,0.99998546,99.99854,115.49847
4,5,1,2,1,0,0,0,1,0,0,0,0,0,0.99998534,99.998535,115.49846
4,2,1,12,1,0,1,0,1,0,0,1,0,0,1.8575382e-06,0.00018575382,10.500195
4,4,5,12,1,0,0,0,1,0,0,0,0,0,3.1599728e-05,0.0031599728,10.503317
2,3,5,8,1,1,0,1,0,0,1,0,0,0,0.9999442,99.99442,115.49414
4,3,1,5,1,0,1,0,1,1,0,1,0,0,5.330362e-06,0.0005330362,10.500559
1,2,1,1,1,1,0,0,0,1,0,0,0,0,0.99997854,99.997856,115.49774
4,3,4,1,1,0,0,0,1,0,1,0,0,0,5.4033876e-06,0.00054033875,10.500567
2,4,4,1,1,0,1,1,0,0,1,0,1,0,0.99999166,99.99917,115.49912
4,5,1,2,1,0,0,0,1,0,0,0,0,0,0.99998534,99.998535,115.49846
1,2,1,11,1,0,0,0,0,0,1,0,0,0,0.9999877,99.99877,115.4987
4,6,5,3,1,0,0,0,1,0,1,0,0,0,0.9999856,99.99856,115.49848
4,2,1,2,1,1,0,0,1,0,1,0,0,0,1.6619806e-06,0.00016619806,10.500174
2,3,1,1,1,0,1,1,0,1,0,1,0,0,0.9999325,99.993256,115.49291
4,6,2,6,1,0,0,0,1,0,0,0,0,0,0.9999856,99.99856,115.49848
4,6,4,11,1,0,0,0,1,0,1,0,0,0,0.9999856,99.99856,115.49848
4,4,4,12,1,0,1,0,1,0,0,0,1,0,3.0727853e-05,0.0030727852,10.503226
2,3,1,9,1,1,0,1,0,0,0,0,0,0,0.9999442,99.99442,115.49414
4,3,1,8,1,1,0,0,1,0,0,0,0,0,5.347567e-06,0.0005347567,10.500562
4,2,2,8,1,0,1,0,1,1,0,1,0,0,1.8212577e-06,0.00018212578,10.500191
1,2,1,7,1,0,0,0,0,1,0,0,0,0,0.99998593,99.9986,115.49852
2,4,4,4,1,0,1,1,0,0,0,1,0,0,0.9999906,99.99906,115.49901
1,2,2,2,1,1,0,0,0,0,0,0,0,0,0.9999833,99.99833,115.49824
4,4,1,6,1,1,0,0,1,1,0,0,0,0,3.1279284e-05,0.0031279284,10.5032835
4,3,2,9,1,0,0,0,1,0,0,0,0,0,5.3849717e-06,0.0005384972,10.500566
1,2,2,11,1,1,0,0,0,1,0,0,0,0,0.9999789,99.99789,115.49777
2,3,1,3,1,1,0,1,0,0,0,0,0,0,0.9999442,99.99442,115.49414
4,2,3,7,0,1,0,0,1,0,1,0,0,0,1.922496e-06,0.0001922496,10.500202
2,5,1,12,1,0,1,1,0,0,0,0,1,0,0.9999974,99.99974,115.499725
2,3,2,8,1,0,0,1,0,1,0,0,0,0,0.9999441,99.99441,115.494125
2,2,1,2,1,0,1,1,0,1,0,0,1,0,5.8081747e-05,0.0058081746,10.506098
2,2,1,6,1,0,1,1,0,0,1,1,0,0,7.872745e-05,0.007872744,10.5082655
4,5,1,2,1,0,0,0,1,0,0,0,0,0,0.99998534,99.998535,115.49846
1,2,1,6,1,0,1,0,0,0,0,0,1,0,0.9999863,99.99863,115.49855
0,0,5,4,1,0,1,0,0,0,1,1,0,0,0.31655803,31.655804,43.73859
1,2,1,1,1,0,0,0,0,0,1,0,0,0,0.9999871,99.99871,115.49864
4,4,1,10,1,1,0,0,1,0,0,0,0,0,3.1380237e-05,0.0031380237,10.503294
4,2,1,11,1,0,0,0,1,0,0,0,0,0,2.1806054e-06,0.00021806054,10.500229
1,2,2,4,1,0,0,0,0,0,0,0,0,0,0.9999852,99.99852,115.49844
4,2,1,3,1,0,0,0,1,0,1,0,0,0,1.8173555e-06,0.00018173555,10.500191
4,5,3,3,1,1,0,0,1,0,1,0,0,0,0.99998546,99.99854,115.49847
4,2,1,5,1,1,0,0,1,0,1,0,0,0,1.2076789e-06,0.00012076789,10.500127
4,3,1,4,1,1,0,0,1,0,0,0,0,0,5.347567e-06,0.0005347567,10.500562
2,4,1,9,1,1,0,1,0,0,0,0,0,0,0.99999046,99.99905,115.49899
4,4,1,8,1,0,1,0,1,0,0,0,0,1,3.885867e-05,0.003885867,10.50408
0,0,1,9,1,0,1,0,0,0,0,0,1,0,0.35572648,35.572647,47.851276
4,3,1,10,1,0,1,0,1,0,1,0,1,0,5.23639e-06,0.00052363897,10.500549
2,2,3,2,1,1,0,1,0,0,0,0,0,0,6.848763e-05,0.0068487627,10.507191
4,6,4,8,1,0,0,0,1,0,1,0,0,0,0.9999856,99.99856,115.49848
4,3,2,6,1,0,0,0,1,0,1,0,0,0,5.3849717e-06,0.0005384972,10.500566
4,4,1,6,1,0,1,0,1,0,1,1,0,0,3.1573403e-05,0.0031573402,10.503315
0,0,1,6,1,1,0,0,0,0,1,0,0,0,0.4488511,44.88511,57.62936
1,2,4,4,1,0,0,0,0,0,1,0,0,0,0.9999856,99.99856,115.49848
2,5,1,5,1,0,0,1,0,1,0,0,0,0,0.9999974,99.99974,115.499725
0,0,3,6,1,1,0,0,0,0,1,0,0,0,0.5351029,53.510292,66.68581
4,5,5,11,1,0,0,0,1,0,1,0,0,0,0.9999856,99.99856,115.49848
4,5,1,8,1,0,1,0,1,1,0,0,0,0,0.99998546,99.99854,115.49847
1,2,1,1,1,0,1,0,0,0,0,1,0,0,0.9999895,99.99895,115.498886
0,0,1,7,1,0,1,0,0,0,0,0,1,0,0.5114316,51.143158,64.20031
4,6,1,9,1,0,0,0,1,1,0,0,0,0,0.99998546,99.99854,115.49847
4,4,1,9,1,1,0,0,1,1,0,0,0,0,3.1279284e-05,0.0031279284,10.5032835
4,6,2,11,1,0,0,0,1,0,1,0,0,0,0.9999856,99.99856,115.49848
1,2,1,10,1,0,1,0,0,0,0,0,1,0,0.9999856,99.99856,115.49848
4,2,4,4,1,1,0,0,1,0,0,0,0,0,1.74972e-06,0.000174972,10.500183
2,2,3,11,1,0,1,1,0,0,0,0,1,0,8.647136e-05,0.008647135,10.509079
4,4,1,6,1,0,1,0,1,0,1,0,1,0,3.2072734e-05,0.0032072733,10.503367
4,6,2,12,1,0,1,0,1,0,0,0,1,0,0.9999851,99.99851,115.498436
0,0,5,2,1,0,0,0,0,0,0,0,0,0,0.4650179,46.501793,59.32688
2,6,4,12,1,0,0,1,0,0,0,0,0,0,0.9999974,99.99974,115.499725
4,6,5,3,1,0,0,0,1,1,0,0,0,0,0.9999856,99.99856,115.49848
4,4,2,2,1,1,0,0,1,0,0,0,0,0,3.1109033e-05,0.0031109033,10.503266
4,3,4,11,1,0,0,0,1,0,0,0,0,0,5.3849717e-06,0.0005384972,10.500566
2,2,5,4,0,0,0,1,0,0,1,0,0,0,6.487326e-05,0.006487326,10.506811
0,0,3,2,1,0,0,0,0,0,0,0,0,0,0.36126485,36.126484,48.432804
4,2,1,4,1,1,0,0,1,0,0,0,0,0,1.7312609e-06,0.00017312609,10.500182
4,2,1,11,1,0,0,0,1,0,0,0,0,0,2.1806054e-06,0.00021806054,10.500229
4,3,1,3,1,0,1,0,1,0,0,0,0,0,4.9441414e-06,0.0004944141,10.500518
4,2,1,9,1,0,1,0,1,0,0,0,1,0,1.6709918e-06,0.00016709918,10.5001745
4,2,1,4,1,0,0,0,1,0,1,0,0,0,1.9590832e-06,0.00019590832,10.500205
4,5,1,5,1,1,0,0,1,0,0,0,0,0,0.99998546,99.99854,115.49847
4,5,1,7,1,0,1,0,1,0,0,1,0,0,0.9999856,99.99856,115.49848
4,5,3,6,1,1,0,0,1,0,0,0,0,0,0.99998546,99.99854,115.49847
4,6,4,4,1,0,1,0,1,0,0,1,0,0,0.9999856,99.99856,115.49848
2,2,1,10,1,1,0,1,0,0,0,0,0,0,7.865241e-05,0.007865241,10.508258
2,6,1,10,1,1,0,1,0,0,1,0,0,0,0.9999974,99.99974,115.499725
2,3,1,7,0,0,0,1,0,0,1,0,0,0,0.9999447,99.99447,115.49419
0,0,1,3,1,0,0,0,0,1,0,0,0,0,0.5185834,51.85834,64.951256
4,2,1,7,1,1,0,0,1,0,0,0,0,0,1.8787837e-06,0.00018787837,10.500196
4,4,1,2,1,0,0,0,1,0,1,0,0,0,3.1707794e-05,0.0031707794,10.503329
4,2,1,9,1,0,0,0,1,1,0,0,0,0,1.9629356e-06,0.00019629356,10.500206
4,3,1,6,1,1,0,0,1,0,1,0,0,0,5.347567e-06,0.0005347567,10.500562
4,4,3,10,1,0,1,0,1,0,0,0,1,0,3.0727853e-05,0.0030727852,10.503226
1,2,1,9,1,1,0,0,0,1,0,0,0,0,0.999985,99.9985,115.49841
4,2,1,2,1,0,0,0,1,0,1,0,0,0,1.6159044e-06,0.00016159043,10.500169
1,2,1,3,1,1,0,0,0,0,0,0,0,0,0.9999862,99.99862,115.49854
1,2,1,5,1,1,0,0,0,0,0,0,0,0,0.9999869,99.99869,115.49862
2,3,1,8,1,0,1,1,0,0,0,1,0,0,0.99994457,99.99445,115.49417
4,2,1,1,1,1,0,0,1,0,1,0,0,0,1.8766563e-06,0.00018766563,10.500196
2,2,2,10,1,0,1,1,0,0,0,1,0,0,8.167807e-05,0.008167807,10.508576
2,6,1,7,1,0,1,1,0,0,0,1,0,0,0.9999974,99.99974,115.499725
4,5,3,7,1,1,0,0,1,0,0,0,0,0,0.99998546,99.99854,115.49847
4,5,1,10,1,1,0,0,1,0,0,0,0,0,0.99998546,99.99854,115.49847
4,4,2,7,1,1,0,0,1,0,0,0,0,0,3.1380237e-05,0.0031380237,10.503294
4,4,1,8,1,1,0,0,1,0,1,0,0,0,3.1380237e-05,0.0031380237,10.503294
2,5,5,2,1,1,0,1,0,1,0,0,0,0,0.9999976,99.99976,115.49975
2,3,1,5,1,0,0,1,0,0,0,0,0,0,0.9999447,99.99447,115.49419
4,5,1,8,1,1,0,0,1,0,1,0,0,0,0.99998546,99.99854,115.49847
1,2,2,1,1,0,1,0,0,0,1,1,0,0,0.9999716,99.99716,115.49702
4,5,2,7,1,0,1,0,1,0,1,0,1,0,0.9999858,99.99858,115.498505
4,4,2,9,1,1,0,0,1,0,1,0,0,0,3.1380237e-05,0.0031380237,10.503294
4,2,4,8,1,1,0,0,1,0,1,0,0,0,2.3618222e-06,0.00023618223,10.500248
2,6,1,2,1,0,1,1,0,1,0,1,0,0,0.999998,99.999794,115.49978
4,2,3,9,1,1,0,0,1,0,0,0,0,0,1.7389439e-06,0.00017389438,10.500182
4,4,3,1,1,0,0,0,1,0,1,0,0,0,3.1707794e-05,0.0031707794,10.503329
4,3,3,2,1,0,0,0,1,0,0,0,0,0,5.301349e-06,0.0005301349,10.500556
4,5,5,11,1,1,0,0,1,1,0,0,0,0,0.99998546,99.99854,115.49847
2,5,1,9,1,0,1,1,0,0,0,0,1,0,0.9999974,99.99974,115.499725
4,6,1,10,1,0,1,0,1,0,1,1,0,0,0.9999856,99.99856,115.49848
4,2,3,9,1,1,0,0,1,0,1,0,0,0,1.6719879e-06,0.00016719878,10.5001745
4,6,3,6,1,1,0,0,1,0,0,0,0,0,0.99998546,99.99854,115.49847
